id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,predicted_amount,drug_weight.1,entry_date,result_date,result_type,court_city,region,latitude,longitude,sentence_total_months,sentence_type,has_fine,fine_category,accuracy_flag,log_fine,log_weight,region_group
10272887,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,1.10.2018,15.10.2018,Вынесен ПРИГОВОР,п. Иглино,Республика Башкортостан,54.7388,55.9721,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10200987,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,25.9.2018,22.10.2018,Вынесен ПРИГОВОР,г. Задонск,Липецкая область,52.6031,39.5708,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10004459,обязательные работы,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.72,значительный,"9,72",28.7.2021,26.8.2021,Вынесен ПРИГОВОР,г. Томск,Томская область,56.501,84.9925,12.0,,Нет,Нет штрафа,Разнится,0.0,2.372111155642656,Центр
10698139,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20000.0,,значительный,,24.12.2020,19.1.2021,Вынесен ПРИГОВОР,г. Астрахань,Астраханская область,46.3497,48.0408,0.0,,Да,10k–50k₽,Разнится,9.90353755128617,0.0,Центр
10096550,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,29.3.2019,10.4.2019,Вынесен ПРИГОВОР,г. Сергиев-Посад,Московская область,55.7558,37.6178,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10152564,условное осуждение,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.61,значительный,"1,61",1.8.2018,27.8.2018,Вынесен ПРИГОВОР,г. Орел,Орловская область,52.9673,36.0696,48.0,,Нет,Нет штрафа,Разнится,0.0,0.9593502213346021,Центр
10656578,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,25.7.2024,21.8.2024,Вынесен ПРИГОВОР,г. Пермь,Пермский край,58.0105,56.2502,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10292762,условное осуждение,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,162.65,крупный,"108,25;
54,4",27.2.2023,14.3.2023,Вынесен ПРИГОВОР,г. Новый Оскол,Белгородская область,50.767,37.45,36.0,,Нет,Нет штрафа,Разнится,0.0,5.097730000947189,Центр
10043918,обязательные работы,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.85,значительный,"0,85",30.10.2020,25.11.2020,Вынесен ПРИГОВОР,г. Батайск,Ростовская область,47.2357,39.7015,0.0,,Нет,Нет штрафа,Разнится,0.0,0.6151856390902335,Центр
10011245,условное осуждение,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.81,значительный,"0,81",17.12.2020,28.12.2020,Вынесен ПРИГОВОР,г. Омск,Омская область,54.9914,73.3715,12.0,,Нет,Нет штрафа,Разнится,0.0,0.5933268452777344,Центр
11357519,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,3.10.2024,,,г. Биробиджан,Еврейская автономная область,48.7946,132.9218,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10266780,лишение свободы,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,значительный,7,30.4.2021,24.5.2021,Вынесен ПРИГОВОР,г. Владивосток,Приморский край,43.1155,131.8855,39.0,,Нет,Нет штрафа,Разнится,0.0,2.0794415416798357,Центр
10222752,штраф,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,25000.0,0.44,значительный,"0,44",22.1.2020,6.2.2020,Вынесен ПРИГОВОР,г. Кушва,Свердловская область,56.8389,60.6057,2.0,,Да,10k–50k₽,Разнится,10.12667110305036,0.36464311358790924,Центр
10100037,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,1.11.2023,10.9.2024,Вынесен ПРИГОВОР,г. Казань,Республика Татарстан,55.7903,49.1347,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10114294,лишение свободы,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.487,значительный,"0,487",28.7.2022,14.3.2023,Вынесен ПРИГОВОР,г. Нижний Новгород,Нижегородская область,56.2965,43.9361,12.0,,Нет,Нет штрафа,Разнится,0.0,0.396760667478018,Центр
10206041,условное осуждение,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1927.212,крупный,"1927,212",6.5.2020,6.7.2020,Вынесен ПРИГОВОР,с. Михайловка,Приморский край,43.1155,131.8855,0.0,,Нет,Нет штрафа,Разнится,0.0,7.564348427631722,Центр
10015753,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,1.8.2019,20.9.2019,Вынесен ПРИГОВОР,г. Красноярск,Красноярский край,56.0153,92.8932,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10163692,лишение свободы,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,119.663,значительный,"119,663",1.4.2021,11.6.2021,Вынесен ПРИГОВОР,г. Новопавловск,Ставропольский край,45.0448,41.969,18.0,,Нет,Нет штрафа,Разнится,0.0,4.793001535955644,Центр
10259448,лишение свободы,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.533,значительный,"1,533",1.11.2023,9.1.2024,Вынесен ПРИГОВОР,г. Стерлитамак,Республика Башкортостан,54.7388,55.9721,42.0,,Нет,Нет штрафа,Разнится,0.0,0.9294043710195381,Центр
10028267,лишение свободы,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.018,значительный,"0,018",21.4.2022,17.6.2022,Вынесен ПРИГОВОР,г. Северск,Томская область,56.501,84.9925,26.0,,Нет,Нет штрафа,Разнится,0.0,0.017839918128331,Центр
10236599,лишение свободы,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3,значительный,"3,30",1.7.2019,22.7.2019,Вынесен ПРИГОВОР,г. Дербент,Республика Дагестан,42.9849,47.5047,13.0,,Нет,Нет штрафа,Разнится,0.0,1.4586150226995167,Центр
